_key,id,positive ratings,negative ratings,total reviews,rating percentage,info/0/id,info/0/category,info/0/cover,info/0/first_release_date,info/0/platforms/0,info/0/platforms/1,info/0/slug,info/0/summary,info/0/url,info/0/aggregated_rating,info/0/aggregated_rating_count,info/0/game_engines/0,info/0/game_modes/0,info/0/game_modes/1,info/0/game_modes/2,info/0/involved_companies/0,info/0/involved_companies/1,info/0/involved_companies/2,info/0/involved_companies/3,info/0/involved_companies/4,info/0/multiplayer_modes/0,info/0/multiplayer_modes/1,info/0/multiplayer_modes/2,info/0/multiplayer_modes/3,info/0/platforms/2,info/0/platforms/3,info/0/platforms/4,info/0/platforms/5,info/0/platforms/6,info/0/platforms/7,info/0/platforms/8,info/0/platforms/9,info/0/player_perspectives/0,info/0/storyline,info/0/game_localizations/0,info/0/game_localizations/1,info/0/game_modes/3,info/0/status,info/0/involved_companies/5,info/0/involved_companies/6,info/0/involved_companies/7,info/0/involved_companies/8,info/0/platforms/10,info/0/platforms/11,info/0/platforms/12,info/0/platforms/13,info/0/platforms/14,info/0/player_perspectives/1,info/0/player_perspectives/2,info/0/remakes/0,info/0/game_engines/1,info/0/game_engines/2,info/0/platforms/15,info/0/remasters/0,info/0/game_engines/3,info/0/remasters/1,info/0/player_perspectives/3
Portal 2,99969,"401,349","5,312","406,661",97.70%,99969,1,399776,1308268800,6,9,portal-2-in-motion,"Get Portal2 In Motion, Adventure, Puzzle, Shooter, First Person Shooter game for PS3 console from the official PlayStation website. Know more about Portal2 In Motion Game.",https://www.igdb.com/games/portal-2-in-motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardew Valley,17000,"747,919","12,739","760,658",97.51%,17000,0,14012,1456444800,3,6,stardew-valley,"Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",https://www.igdb.com/games/stardew-valley,90.53846153846153,17,103,1,2,3,55275,55277,70732,96480,96481,9964,9965,9966,9967,14,34,39,41,46,48,49,130,3,"You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",1880,5401,,,,,,,,,,,,,,,,,,,,,
People Playground,122646,"256,855","3,615","260,470",97.47%,122646,0,196394,1563840000,6,,people-playground,"Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.",https://www.igdb.com/games/people-playground,,,13,1,,,115528,115529,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Survivors,186725,"232,095","3,542","235,637",97.33%,186725,0,202171,1643673600,6,14,vampire-survivors,"Mow thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.",https://www.igdb.com/games/vampire-survivors,91.4,6,,1,2,3,195857,,,,,23674,24379,,,34,39,48,49,130,167,169,,3,,26124,29602,4,,,,,,,,,,,,,,,,,,,,
Hades,113112,"263,680","4,541","268,221",97.19%,113112,0,152760,1600300800,6,14,hades--1,"A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants.",https://www.igdb.com/games/hades--1,94.0625,20,149,1,,,258983,258984,265600,,,,,,,39,48,49,130,167,169,,,3,"Zagreus, the son of Hades, has discovered that his mother, which he was led to believe was Nyx, Night Incarnate, is actually someone else, and is outside Hell. He is now attempting to escape his father's domain, with the help of the other gods of Olympus, in an attempt to find his real mother.",11478,20810,,,,,,,,,,,,,,,,,,,,,
Portal,317175,"162,350","2,528","164,878",97.16%,317175,0,412245,1726876800,6,34,brazilian-drug-dealer-3-i-opened-a-portal-to-hell-in-the-favela-trying-to-revive-mit-aia-i-need-to-close-it--1,"Brazilian Drug Dealer 3 is a fast-paced ultraviolent Brazilian old-school FPS heavily inspired by the first Quake, using the same engine as the game (ID TECH2). made as a tribute to the Brazilian mods of the 2000s, the Brazilian bootleg games of the 2000s, Brazilian music, and the King of Brazilian music, Mit Aia!",https://www.igdb.com/games/brazilian-drug-dealer-3-i-opened-a-portal-to-hell-in-the-favela-trying-to-revive-mit-aia-i-need-to-close-it--1,,,97,1,2,3,287715,,,,,30306,30307,,,,,,,,,,,1,"You are a Mit Aia fan, a legend of Brazilian 70s funk music, and you tried to revive him in the favela where you live with a Pentagram, things took a bad turn and you opened a portal to hell! All the people in the state of Rio de Janeiro got Posseeessed! It’s up to you to find a way to stop the hell invasion!",,,,4,,,,,,,,,,,,,,,,,,,
HoloCure - Save the Fans!,206336,"30,955",239,"31,194",97.05%,206336,0,326103,1656028800,6,,holocure-save-the-fans--1,"Collect powerful weapons and items and experiment with all kinds of builds to create the ultimate character! Will you be able to defeat the endless waves of enemies, and reach the top rankings?",https://www.igdb.com/games/holocure-save-the-fans--1,,,79,1,,,176742,,,,,,,,,,,,,,,,,3,"In the year 20xx, an uprising began. A new group of idols surfaced on the internet, known as virtual idols. People were skeptical at first, but over time, these virtual idols gathered many fans. Many grew to love these ""Vtubers"" very much. However, one day an evil force came in and took advantage of the fans and their love. The evil force brainwashed the fans, turning them into mindless minions blinded by their own love.
The vtubers knew they had to help their fans come back to their senses.
And this began their quest... to save the fans!",,,,3,,,,,,,,,,,,,,,,,,,
Terraria,1879,"1,303,041","33,014","1,336,055",96.85%,1879,0,82068,1305504000,3,6,terraria,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",https://www.igdb.com/games/terraria,81,17,,1,2,3,16887,188985,188989,189038,189039,7506,8284,9954,,9,12,14,34,37,39,41,46,4,,3388,19296,,,189040,189041,190256,190257,48,49,74,130,170,,,,,,,,,,
RimWorld,9789,"190,515","3,902","194,417",96.77%,9789,0,71529,1539734400,3,6,rimworld,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",https://www.igdb.com/games/rimworld,74.5,3,13,1,,,95510,,,,,,,,,14,,,,,,,,3,"RimWorld follows three survivors from a crashed space liner as they build a colony on a frontier world at the rim of known space. Inspired by the space western vibe of Firefly, the deep simulation of Dwarf Fortress, and the epic scale of Dune and Warhammer 40,000.

Manage colonists' moods, needs, thoughts, individual wounds, and illnesses. Engage in deeply-simulated small-team gunplay. Fashion structures, weapons, and apparel from metal, wood, stone, cloth, or exotic, futuristic materials. Fight pirate raiders, hostile tribes, rampaging animals and ancient killing machines. Discover a new generated world each time you play. Build colonies in biomes ranging from desert to jungle to tundra, each with unique flora and fauna. Manage and develop colonists with unique backstories, traits, and skills. Learn to play easily with the help of an intelligent and unobtrusive AI tutor.",1674,4737,,,,,,,,,,,,,,,,,,,,,
Half-Life: Alyx,126098,"90,151","1,547","91,698",96.76%,126098,0,383452,1584921600,161,163,half-life-alyx,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Alyx Vance and her father Eli mount an early resistance to the Combine's brutal occupation of Earth.",https://www.igdb.com/games/half-life-alyx,92.77777777777777,11,557,1,,,150849,,,,,,,,,385,,,,,,,,7,"Playing as Alyx Vance, you are humanity’s only chance for survival. The Combine’s control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth’s greatest scientists: you and your father, Dr. Eli Vance.

As founders of a fledgling resistance, you’ve continued your clandestine scientific activity—performing critical research, and building invaluable tools for the few humans brave enough to defy the Combine.

Every day, you learn more about your enemy, and every day you work toward finding a weakness.",,,,,,,,,,,,,,,,,,,,,,,
