Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-02-11,Repast,1951,https://boxd.it/DyoQJ,5,,,2019-02-05
2019-02-11,Samurai I: Musashi Miyamoto,1954,https://boxd.it/DyoKL,4,,,2019-02-08
2019-02-11,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/DAW73,4.5,,,2019-02-11
2019-02-11,The Rickshaw Man,1958,https://boxd.it/DAW9N,5,,,2019-02-11
2019-02-11,Late Autumn,1960,https://boxd.it/DAWcd,4,,,2019-02-11
2019-02-11,Twenty-Four Eyes,1954,https://boxd.it/DAWet,5,,,2019-02-11
2019-02-11,Paranormal Activity 2,2010,https://boxd.it/DAWgJ,3,,,2019-02-11
2019-02-11,The Human Condition I: No Greater Love,1959,https://boxd.it/DAWmR,5,,,2019-02-11
2019-02-11,Black Rain,1989,https://boxd.it/DAY3H,5,,,2019-02-11
2019-02-11,Sword of the Beast,1965,https://boxd.it/DAYvh,3.5,,,2019-02-11
2019-02-12,The Favourite,2018,https://boxd.it/DClcf,4.5,,,2019-02-11
2019-02-17,All About My Mother,1999,https://boxd.it/DSCFZ,4,,,2019-02-15
2019-02-17,Men Are from Mars... And That's Where I'm Going!,2014,https://boxd.it/DSabx,0.5,,,2019-02-16
2019-02-17,Shoplifters,2018,https://boxd.it/DSAt3,5,,,2019-02-16
2019-02-19,Mirai,2018,https://boxd.it/DXWyz,4,,,2019-02-18
2019-02-20,Maquia: When the Promised Flower Blooms,2018,https://boxd.it/E2Rfn,3,,,2019-02-19
2019-02-24,The Funeral,1984,https://boxd.it/EeKOp,5,,,2019-02-23
2019-02-24,Osaka Elegy,1936,https://boxd.it/EgxPD,5,,,2019-02-23
2019-02-24,The Woman in the Rumor,1954,https://boxd.it/EgPev,5,,,2019-02-23
2019-02-25,Capernaum,2018,https://boxd.it/Eiyt3,1,,,2019-02-24
2019-02-25,One Small Step,2018,https://boxd.it/EiQgB,3.5,,,2019-02-24
2019-02-25,Late Afternoon,2017,https://boxd.it/EiQhz,3.5,,,2019-02-24
2019-02-25,Animal Behaviour,2018,https://boxd.it/EiQjZ,2.5,,,2019-02-24
2019-02-25,Weekends,2017,https://boxd.it/EiQmp,4,,,2019-02-24
2019-02-25,Bao,2018,https://boxd.it/EiR89,4,,,2019-02-24
2019-02-25,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/Ejlb3,4,,,2019-02-24
2019-02-26,Paris Je T'aime,2006,https://boxd.it/Em0CN,3.5,,,2019-02-25
2019-02-26,Close-Knit,2017,https://boxd.it/EnNkb,4,,,2019-02-25
2019-03-02,Stromboli,1950,https://boxd.it/ExXDn,3.5,,,2019-02-28
2019-03-02,Blazing Saddles,1974,https://boxd.it/EzN47,3,,,2019-03-01
2019-03-03,Happy as Lazzaro,2018,https://boxd.it/EBzrF,5,,,2019-03-02
2019-03-04,The Constant Gardener,2005,https://boxd.it/EIosB,4,,,2019-03-04
2019-03-04,In Chris Marker's Studio,2011,https://boxd.it/EIxMb,4,,,2019-03-04
2019-03-06,Tokyo Fist,1995,https://boxd.it/EOh5H,3,,,2019-03-06
2019-03-08,Mauvais Sang,1986,https://boxd.it/ET6il,4,,,2019-03-07
