Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-09-30,Midsommar,2019,https://boxd.it/PfpHX,,,,2019-09-28
2019-09-30,Crawl,2019,https://boxd.it/Pg5rn,4,,,2019-09-29
2019-10-03,Jonas and the Backyard Circus,2015,https://boxd.it/PoGVZ,,,,2019-10-01
2019-10-03,Toy Story 4,2019,https://boxd.it/PoGZd,,,,2019-10-02
2019-10-18,The Green Mile,1999,https://boxd.it/QjtRT,,,,2019-10-12
2019-10-18,Fractured,2019,https://boxd.it/QjtYl,,,,2019-10-13
2019-10-19,Joker,2019,https://boxd.it/QkNV9,3.5,Yes,,2019-10-17
2019-10-18,Joker,2019,https://boxd.it/QjtCp,,,,2019-10-18
2020-06-21,Portrait of a Lady on Fire,2019,https://boxd.it/1d6UtF,5,,,2020-06-21
2020-07-13,A Girl from Hunan,1987,https://boxd.it/1fiRTR,,,,2020-07-12
2020-09-28,Persona,1966,https://boxd.it/1njwRJ,5,,,2020-08-05
2020-08-27,General Idi Amin Dada,1974,https://boxd.it/1k08TB,,,,2020-08-26
2020-09-28,Minari,2020,https://boxd.it/1njxyt,,,,2020-09-27
2020-09-28,Beanpole,2019,https://boxd.it/1njxEB,4,,,2020-09-27
2020-09-28,Minari,2020,https://boxd.it/1njy4z,2.5,Yes,,2020-09-27
2020-10-07,American Murder: The Family Next Door,2020,https://boxd.it/1oj58r,,,,2020-10-06
2020-11-08,Days,2020,https://boxd.it/1rNb1N,5,,,2020-11-04
2020-11-19,Breakwater,2019,https://boxd.it/1sWsq3,3,,,2020-11-17
2020-11-23,Palm Springs,2020,https://boxd.it/1tnktR,3.5,,,2020-11-22
2020-11-23,Unpregnant,2020,https://boxd.it/1tnZGn,2.5,,,2020-11-23
2020-11-29,Swallow,2019,https://boxd.it/1u2buX,3,,,2020-11-28
2020-11-30,Personal Shopper,2016,https://boxd.it/1uaVIx,,,,2020-11-28
2020-11-30,Hillbilly Elegy,2020,https://boxd.it/1uaMvp,3,,,2020-11-29
2020-11-30,His House,2020,https://boxd.it/1uaUIL,3,,,2020-11-29
2020-12-20,Freaky,2020,https://boxd.it/1wljZb,2,,,2020-12-19
2020-12-20,Happy Death Day,2017,https://boxd.it/1wlkbr,3.5,,,2020-12-19
2021-01-03,Soul,2020,https://boxd.it/1yFJpV,4,,,2021-01-02
2021-01-07,O Futuro é um Vazio,2020,https://boxd.it/1ziYLZ,4,,,2021-01-06
2021-01-14,Ammonite,2020,https://boxd.it/1AsWm3,4,,,2021-01-13
2021-02-17,Red Dot,2021,https://boxd.it/1FmshP,2,,,2021-02-16
2021-02-23,I Care a Lot,2020,https://boxd.it/1GjiiV,1,,,2021-02-22
2021-02-23,The Haunting of Bly Manor,2020,https://boxd.it/1GjmzB,2,,,2021-02-22
2021-02-23,Palm Springs,2020,https://boxd.it/1GjmMb,5,Yes,,2021-02-22
2021-02-23,Ad Astra,2019,https://boxd.it/1GjmSN,4,,,2021-02-22
2021-02-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/1GjmWl,2,,,2021-02-22
2021-02-23,Booksmart,2019,https://boxd.it/1Gjn5R,2,,,2021-02-22
2021-02-23,Suspiria,2018,https://boxd.it/1Gjndr,5,,,2021-02-22
2021-02-23,Phantom Thread,2017,https://boxd.it/1Gjnud,1,,,2021-02-22
2021-02-23,To the Bone,2017,https://boxd.it/1GjnI5,1,,,2021-02-22
2021-02-23,Carol,2015,https://boxd.it/1GjnVX,4,,,2021-02-22
2021-02-26,M8 - When Death Rescues Life,2019,https://boxd.it/1GFQhr,3,Yes,,2021-02-25
2021-02-26,Friendly Beast,2017,https://boxd.it/1GFTx3,4,Yes,,2021-02-25
2021-02-26,M8 - When Death Rescues Life,2019,https://boxd.it/1GFTD1,3,,,2021-02-25
2021-03-15,The Butterfly Effect,2004,https://boxd.it/1IXAFL,,Yes,,2021-03-14
2021-03-28,"Girl, Interrupted",1999,https://boxd.it/1KBJ3v,3,,,2021-03-27
2021-03-28,The Girl on the Train,2016,https://boxd.it/1KBJiF,1,,,2021-03-27
2021-09-02,A Quiet Place Part II,2020,https://boxd.it/26P5wX,4,,,2021-08-31
2021-09-02,The Green Knight,2021,https://boxd.it/26RcQT,4.5,,,2021-09-01
2021-09-16,Malignant,2021,https://boxd.it/28SgbF,3,,,2021-09-15
2021-09-20,Candyman,2021,https://boxd.it/29iqVZ,2,,,2021-09-17
2021-09-25,Forgetting Sarah Marshall,2008,https://boxd.it/29TOxB,5,,,2021-09-23
2021-09-27,The Girl Who Killed Her Parents,2021,https://boxd.it/2agfB5,0.5,,,2021-09-26
2021-09-27,The Boy Who Killed My Parents,2021,https://boxd.it/2agfPB,0.5,,,2021-09-26
2021-09-29,Old,2021,https://boxd.it/2asBvn,2.5,,,2021-09-27
2021-10-02,When Harry Met Sally...,1989,https://boxd.it/2aRHHp,4,,,2021-10-01
2021-10-14,The Night House,2020,https://boxd.it/2cND2d,3.5,,,2021-10-13
2021-12-29,Don't Look Up,2021,https://boxd.it/2pgp1h,4.5,,,2021-12-28
2022-01-02,Lamb,2021,https://boxd.it/2qgHfv,,,,2022-01-01
2022-01-02,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/2qpSlx,,,,2022-01-01
2022-01-02,Red Rocket,2021,https://boxd.it/2qpT1N,0.5,,,2022-01-01
