rank,name,positive ratings,negative ratings,total reviews,rating percentage
1.,Portal 2,"401,349","5,312","406,661",97.70%
2.,Stardew Valley,"747,919","12,739","760,658",97.51%
3.,People Playground,"256,855","3,615","260,470",97.47%
4.,Vampire Survivors,"232,095","3,542","235,637",97.33%
5.,Hades,"263,680","4,541","268,221",97.19%
6.,Portal,"162,350","2,528","164,878",97.16%
7.,HoloCure - Save the Fans!,"30,955",239,"31,194",97.05%
8.,Terraria,"1,303,041","33,014","1,336,055",96.85%
9.,RimWorld,"190,515","3,902","194,417",96.77%
10.,Half-Life: Alyx,"90,151","1,547","91,698",96.76%
11.,Left 4 Dead 2,"867,662","22,184","889,846",96.74%
12.,The Henry Stickmin Collection,"45,901",624,"46,525",96.74%
13.,Senren＊Banka,"26,092",260,"26,352",96.73%
14.,Pizza Tower,"60,570",971,"61,541",96.67%
15.,A Short Hike,"17,114",137,"17,251",96.60%
16.,Euro Truck Simulator 2,"781,905","21,153","803,058",96.58%
17.,Slay the Spire,"162,279","3,568","165,847",96.56%
18.,Slime Rancher,"122,498","2,601","125,099",96.52%
19.,ULTRAKILL,"126,315","2,765","129,080",96.47%
20.,Mount & Blade: Warband,"159,329","3,691","163,020",96.45%
21.,Totally Accurate Battle Simulator,"125,206","2,775","127,981",96.44%
22.,The Binding of Isaac: Rebirth,"294,207","7,583","301,790",96.42%
23.,Half-Life 2,"195,614","4,841","200,455",96.38%
24.,OneShot,"46,464",816,"47,280",96.38%
25.,Cats Hidden in Jingle Jam,"9,156",41,"9,197",96.38%
26.,Lethal Company,"424,130","11,749","435,879",96.36%
27.,Helltaker,"117,951","2,688","120,639",96.36%
28.,VPet,"41,560",712,"42,272",96.36%
29.,Cats Hidden in Paris,"16,300",166,"16,466",96.36%
30.,Katana ZERO,"66,436","1,328","67,764",96.35%
31.,Counter-Strike,"234,970","6,191","241,161",96.30%
32.,Resident Evil 4,"144,960","3,541","148,501",96.29%
33.,Bloons TD 6,"320,153","8,876","329,029",96.27%
34.,BeamNG.drive,"267,054","7,297","274,351",96.25%
35.,Plants vs. Zombies: Game of the Year,"128,609","3,205","131,814",96.20%
